site,Hydro_Metric,Biol,Threshold,Bio_threshold,Unaltered,Altered
101012,SP_Dur,ASCI,Threshold25,0.94,56.25,43.75
101012,SP_Dur,ASCI,Threshold50,0.75,50,50
101012,SP_Dur,ASCI,Threshold50,0.86,43.75,56.25
101012,SP_Dur,ASCI,Threshold50,0.94,43.75,56.25
101012,SP_Dur,ASCI,Threshold75,0.75,31.25,68.75
101012,SP_Dur,ASCI,Threshold75,0.86,31.25,68.75
101012,SP_Dur,ASCI,Threshold75,0.94,31.25,68.75
101012,SP_Tim,CSCI,Threshold25,0.63,81.25,18.75
101012,SP_Tim,CSCI,Threshold25,0.79,68.75,31.25
101012,SP_Tim,CSCI,Threshold25,0.92,62.5,37.5
101012,SP_Tim,CSCI,Threshold50,0.63,68.75,31.25
101012,SP_Tim,CSCI,Threshold50,0.79,62.5,37.5
101012,SP_Tim,CSCI,Threshold50,0.92,62.5,37.5
101012,SP_Tim,CSCI,Threshold75,0.63,62.5,37.5
101012,SP_Tim,CSCI,Threshold75,0.79,62.5,37.5
101012,SP_Tim,CSCI,Threshold75,0.92,62.5,37.5
101020,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
101020,DS_Dur_WS,ASCI,Threshold25,0.86,0,100
101020,DS_Dur_WS,ASCI,Threshold25,0.94,0,100
101020,DS_Dur_WS,ASCI,Threshold50,0.75,0,100
101020,DS_Dur_WS,ASCI,Threshold50,0.86,0,100
101020,DS_Dur_WS,ASCI,Threshold50,0.94,0,100
101020,DS_Dur_WS,ASCI,Threshold75,0.75,0,100
101020,DS_Dur_WS,ASCI,Threshold75,0.86,0,100
101020,DS_Dur_WS,ASCI,Threshold75,0.94,0,100
101020,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
101020,DS_Dur_WS,CSCI,Threshold25,0.79,0,100
101020,DS_Dur_WS,CSCI,Threshold25,0.92,0,100
101020,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
101020,DS_Dur_WS,CSCI,Threshold50,0.79,0,100
101020,DS_Dur_WS,CSCI,Threshold50,0.92,0,100
101020,DS_Dur_WS,CSCI,Threshold75,0.63,0,100
101020,DS_Dur_WS,CSCI,Threshold75,0.79,0,100
101020,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
101020,Q99,ASCI,Threshold25,0.75,100,0
101020,Q99,ASCI,Threshold25,0.86,100,0
101020,Q99,ASCI,Threshold25,0.94,100,0
101020,Q99,ASCI,Threshold50,0.75,100,0
101020,Q99,ASCI,Threshold50,0.86,100,0
101020,Q99,ASCI,Threshold50,0.94,100,0
101020,Q99,ASCI,Threshold75,0.75,100,0
101020,Q99,ASCI,Threshold75,0.86,100,0
101020,Q99,ASCI,Threshold75,0.94,88,12
101020,Q99,CSCI,Threshold25,0.63,100,0
101020,Q99,CSCI,Threshold25,0.79,100,0
101020,Q99,CSCI,Threshold25,0.92,100,0
101020,Q99,CSCI,Threshold50,0.63,100,0
101020,Q99,CSCI,Threshold50,0.79,100,0
101020,Q99,CSCI,Threshold50,0.92,88,12
101020,Q99,CSCI,Threshold75,0.63,100,0
101020,Q99,CSCI,Threshold75,0.79,100,0
101020,Q99,CSCI,Threshold75,0.92,64,36
101020,SP_Dur,ASCI,Threshold25,0.75,66.66666667,33.33333333
101020,SP_Dur,ASCI,Threshold25,0.86,33.33333333,66.66666667
101020,SP_Dur,ASCI,Threshold25,0.94,33.33333333,66.66666667
101020,SP_Dur,ASCI,Threshold50,0.75,33.33333333,66.66666667
101020,SP_Dur,ASCI,Threshold50,0.86,33.33333333,66.66666667
101020,SP_Dur,ASCI,Threshold50,0.94,33.33333333,66.66666667
101020,SP_Dur,ASCI,Threshold75,0.75,16.66666667,83.33333333
101020,SP_Dur,ASCI,Threshold75,0.86,16.66666667,83.33333333
101020,SP_Dur,ASCI,Threshold75,0.94,16.66666667,83.33333333
101020,SP_Tim,CSCI,Threshold25,0.63,83.33333333,16.66666667
101020,SP_Tim,CSCI,Threshold25,0.79,50,50
101020,SP_Tim,CSCI,Threshold25,0.92,50,50
101020,SP_Tim,CSCI,Threshold50,0.63,66.66666667,33.33333333
101020,SP_Tim,CSCI,Threshold50,0.79,50,50
101020,SP_Tim,CSCI,Threshold50,0.92,50,50
101020,SP_Tim,CSCI,Threshold75,0.63,50,50
101020,SP_Tim,CSCI,Threshold75,0.79,50,50
101020,SP_Tim,CSCI,Threshold75,0.92,50,50
201010,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201010,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201010,DS_Dur_WS,ASCI,Threshold25,0.94,50,50
201010,DS_Dur_WS,ASCI,Threshold50,0.75,90,10
201010,DS_Dur_WS,ASCI,Threshold50,0.86,80,20
201010,DS_Dur_WS,ASCI,Threshold50,0.94,30,70
201010,DS_Dur_WS,ASCI,Threshold75,0.75,60,40
201010,DS_Dur_WS,ASCI,Threshold75,0.86,40,60
201010,DS_Dur_WS,ASCI,Threshold75,0.94,10,90
201010,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201010,DS_Dur_WS,CSCI,Threshold25,0.79,80,20
201010,DS_Dur_WS,CSCI,Threshold25,0.92,20,80
201010,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201010,DS_Dur_WS,CSCI,Threshold50,0.79,60,40
201010,DS_Dur_WS,CSCI,Threshold50,0.92,10,90
201010,DS_Dur_WS,CSCI,Threshold75,0.63,70,30
201010,DS_Dur_WS,CSCI,Threshold75,0.79,20,80
201010,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201010,Q99,ASCI,Threshold25,0.75,100,0
201010,Q99,ASCI,Threshold25,0.86,100,0
201010,Q99,ASCI,Threshold25,0.94,12,88
201010,Q99,ASCI,Threshold50,0.75,100,0
201010,Q99,ASCI,Threshold50,0.86,80,20
201010,Q99,ASCI,Threshold50,0.94,8,92
201010,Q99,ASCI,Threshold75,0.75,68,32
201010,Q99,ASCI,Threshold75,0.86,52,48
201010,Q99,ASCI,Threshold75,0.94,0,100
201010,Q99,CSCI,Threshold25,0.63,100,0
201010,Q99,CSCI,Threshold25,0.79,80,20
201010,Q99,CSCI,Threshold25,0.92,0,100
201010,Q99,CSCI,Threshold50,0.63,100,0
201010,Q99,CSCI,Threshold50,0.79,60,40
201010,Q99,CSCI,Threshold50,0.92,0,100
201010,Q99,CSCI,Threshold75,0.63,100,0
201010,Q99,CSCI,Threshold75,0.79,24,76
201010,Q99,CSCI,Threshold75,0.92,0,100
201010,SP_Dur,ASCI,Threshold25,0.75,88,12
201010,SP_Dur,ASCI,Threshold25,0.86,72,28
201010,SP_Dur,ASCI,Threshold25,0.94,64,36
201010,SP_Dur,ASCI,Threshold50,0.75,56,44
201010,SP_Dur,ASCI,Threshold50,0.86,40,60
201010,SP_Dur,ASCI,Threshold50,0.94,28,72
201010,SP_Dur,ASCI,Threshold75,0.75,24,76
201010,SP_Dur,ASCI,Threshold75,0.86,24,76
201010,SP_Dur,ASCI,Threshold75,0.94,24,76
201010,SP_Tim,CSCI,Threshold25,0.63,84,16
201010,SP_Tim,CSCI,Threshold25,0.79,60,40
201010,SP_Tim,CSCI,Threshold25,0.92,60,40
201010,SP_Tim,CSCI,Threshold50,0.63,60,40
201010,SP_Tim,CSCI,Threshold50,0.79,60,40
201010,SP_Tim,CSCI,Threshold50,0.92,52,48
201010,SP_Tim,CSCI,Threshold75,0.63,60,40
201010,SP_Tim,CSCI,Threshold75,0.79,52,48
201010,SP_Tim,CSCI,Threshold75,0.92,52,48
201020,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201020,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201020,DS_Dur_WS,ASCI,Threshold25,0.94,66.66666667,33.33333333
201020,DS_Dur_WS,ASCI,Threshold50,0.75,83.33333333,16.66666667
201020,DS_Dur_WS,ASCI,Threshold50,0.86,83.33333333,16.66666667
201020,DS_Dur_WS,ASCI,Threshold50,0.94,41.66666667,58.33333333
201020,DS_Dur_WS,ASCI,Threshold75,0.75,50,50
201020,DS_Dur_WS,ASCI,Threshold75,0.86,25,75
201020,DS_Dur_WS,ASCI,Threshold75,0.94,16.66666667,83.33333333
201020,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201020,DS_Dur_WS,CSCI,Threshold25,0.79,83.33333333,16.66666667
201020,DS_Dur_WS,CSCI,Threshold25,0.92,33.33333333,66.66666667
201020,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201020,DS_Dur_WS,CSCI,Threshold50,0.79,58.33333333,41.66666667
201020,DS_Dur_WS,CSCI,Threshold50,0.92,25,75
201020,DS_Dur_WS,CSCI,Threshold75,0.63,75,25
201020,DS_Dur_WS,CSCI,Threshold75,0.79,25,75
201020,DS_Dur_WS,CSCI,Threshold75,0.92,16.66666667,83.33333333
201020,Q99,ASCI,Threshold25,0.75,100,0
201020,Q99,ASCI,Threshold25,0.86,100,0
201020,Q99,ASCI,Threshold25,0.94,12,88
201020,Q99,ASCI,Threshold50,0.75,100,0
201020,Q99,ASCI,Threshold50,0.86,84,16
201020,Q99,ASCI,Threshold50,0.94,8,92
201020,Q99,ASCI,Threshold75,0.75,68,32
201020,Q99,ASCI,Threshold75,0.86,52,48
201020,Q99,ASCI,Threshold75,0.94,0,100
201020,Q99,CSCI,Threshold25,0.63,100,0
201020,Q99,CSCI,Threshold25,0.79,84,16
201020,Q99,CSCI,Threshold25,0.92,0,100
201020,Q99,CSCI,Threshold50,0.63,100,0
201020,Q99,CSCI,Threshold50,0.79,56,44
201020,Q99,CSCI,Threshold50,0.92,0,100
201020,Q99,CSCI,Threshold75,0.63,96,4
201020,Q99,CSCI,Threshold75,0.79,24,76
201020,Q99,CSCI,Threshold75,0.92,0,100
201020,SP_Dur,ASCI,Threshold25,0.75,88,12
201020,SP_Dur,ASCI,Threshold25,0.86,68,32
201020,SP_Dur,ASCI,Threshold25,0.94,56,44
201020,SP_Dur,ASCI,Threshold50,0.75,48,52
201020,SP_Dur,ASCI,Threshold50,0.86,44,56
201020,SP_Dur,ASCI,Threshold50,0.94,32,68
201020,SP_Dur,ASCI,Threshold75,0.75,24,76
201020,SP_Dur,ASCI,Threshold75,0.86,20,80
201020,SP_Dur,ASCI,Threshold75,0.94,20,80
201020,SP_Tim,CSCI,Threshold25,0.63,84,16
201020,SP_Tim,CSCI,Threshold25,0.79,60,40
201020,SP_Tim,CSCI,Threshold25,0.92,60,40
201020,SP_Tim,CSCI,Threshold50,0.63,60,40
201020,SP_Tim,CSCI,Threshold50,0.79,60,40
201020,SP_Tim,CSCI,Threshold50,0.92,52,48
201020,SP_Tim,CSCI,Threshold75,0.63,60,40
201020,SP_Tim,CSCI,Threshold75,0.79,52,48
201020,SP_Tim,CSCI,Threshold75,0.92,52,48
201030,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201030,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201030,DS_Dur_WS,ASCI,Threshold25,0.94,60,40
201030,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
201030,DS_Dur_WS,ASCI,Threshold50,0.86,100,0
201030,DS_Dur_WS,ASCI,Threshold50,0.94,40,60
201030,DS_Dur_WS,ASCI,Threshold75,0.75,40,60
201030,DS_Dur_WS,ASCI,Threshold75,0.86,40,60
201030,DS_Dur_WS,ASCI,Threshold75,0.94,20,80
201030,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201030,DS_Dur_WS,CSCI,Threshold25,0.79,100,0
201030,DS_Dur_WS,CSCI,Threshold25,0.92,40,60
201030,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201030,DS_Dur_WS,CSCI,Threshold50,0.79,40,60
201030,DS_Dur_WS,CSCI,Threshold50,0.92,0,100
201030,DS_Dur_WS,CSCI,Threshold75,0.63,80,20
201030,DS_Dur_WS,CSCI,Threshold75,0.79,20,80
201030,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201030,Q99,ASCI,Threshold25,0.75,100,0
201030,Q99,ASCI,Threshold25,0.86,100,0
201030,Q99,ASCI,Threshold25,0.94,100,0
201030,Q99,ASCI,Threshold50,0.75,100,0
201030,Q99,ASCI,Threshold50,0.86,100,0
201030,Q99,ASCI,Threshold50,0.94,96,4
201030,Q99,ASCI,Threshold75,0.75,100,0
201030,Q99,ASCI,Threshold75,0.86,100,0
201030,Q99,ASCI,Threshold75,0.94,68,32
201030,Q99,CSCI,Threshold25,0.63,100,0
201030,Q99,CSCI,Threshold25,0.79,100,0
201030,Q99,CSCI,Threshold25,0.92,88,12
201030,Q99,CSCI,Threshold50,0.63,100,0
201030,Q99,CSCI,Threshold50,0.79,100,0
201030,Q99,CSCI,Threshold50,0.92,68,32
201030,Q99,CSCI,Threshold75,0.63,100,0
201030,Q99,CSCI,Threshold75,0.79,100,0
201030,Q99,CSCI,Threshold75,0.92,24,76
201030,SP_Dur,ASCI,Threshold25,0.75,75,25
201030,SP_Dur,ASCI,Threshold25,0.86,66.66666667,33.33333333
201030,SP_Dur,ASCI,Threshold25,0.94,66.66666667,33.33333333
201030,SP_Dur,ASCI,Threshold50,0.75,58.33333333,41.66666667
201030,SP_Dur,ASCI,Threshold50,0.86,50,50
201030,SP_Dur,ASCI,Threshold50,0.94,50,50
201030,SP_Dur,ASCI,Threshold75,0.75,41.66666667,58.33333333
201030,SP_Dur,ASCI,Threshold75,0.86,41.66666667,58.33333333
201030,SP_Dur,ASCI,Threshold75,0.94,33.33333333,66.66666667
201030,SP_Tim,CSCI,Threshold25,0.63,91.66666667,8.333333333
201030,SP_Tim,CSCI,Threshold25,0.79,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold25,0.92,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold50,0.63,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold50,0.79,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold50,0.92,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold75,0.63,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold75,0.79,83.33333333,16.66666667
201030,SP_Tim,CSCI,Threshold75,0.92,83.33333333,16.66666667
201031,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201031,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201031,DS_Dur_WS,ASCI,Threshold25,0.94,0,100
201031,DS_Dur_WS,ASCI,Threshold50,0.75,0,100
201031,DS_Dur_WS,ASCI,Threshold50,0.86,0,100
201031,DS_Dur_WS,ASCI,Threshold50,0.94,0,100
201031,DS_Dur_WS,ASCI,Threshold75,0.75,0,100
201031,DS_Dur_WS,ASCI,Threshold75,0.86,0,100
201031,DS_Dur_WS,ASCI,Threshold75,0.94,0,100
201031,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201031,DS_Dur_WS,CSCI,Threshold25,0.79,0,100
201031,DS_Dur_WS,CSCI,Threshold25,0.92,0,100
201031,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201031,DS_Dur_WS,CSCI,Threshold50,0.79,0,100
