"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"87",301010,"Oso and Small Creeks",NA,1997,"Moderate","SP_Tim",121,"original",121,"original",121,"original",0,0
"88",301010,"Oso and Small Creeks",NA,1998,"Wet","DS_Dur_WS",97,"original",NA,"original",133,"original",NA,NA
"89",301010,"Oso and Small Creeks",NA,1998,"Wet","SP_Dur",116,"original",19,"original",80,"original",97,61
"90",301010,"Oso and Small Creeks",NA,1998,"Wet","SP_Tim",179,"original",180,"original",179,"original",-1,-1
"91",301010,"Oso and Small Creeks",NA,1999,"Dry","DS_Dur_WS",262,"original",NA,"original",260,"original",NA,NA
"92",301010,"Oso and Small Creeks",NA,1999,"Dry","SP_Dur",26,"original",225,"original",26,"original",-199,-199
"93",301010,"Oso and Small Creeks",NA,1999,"Dry","SP_Tim",196,"original",69,"original",196,"original",127,127
"94",301010,"Oso and Small Creeks",NA,2000,"Moderate","DS_Dur_WS",170,"original",183,"original",170,"original",-13,-13
"95",301010,"Oso and Small Creeks",NA,2000,"Moderate","SP_Dur",12,"original",139,"original",12,"original",-127,-127
"96",301010,"Oso and Small Creeks",NA,2000,"Moderate","SP_Tim",203,"original",163,"original",203,"original",40,40
"97",301010,"Oso and Small Creeks",NA,2001,"Wet","DS_Dur_WS",177,"original",NA,"original",180,"original",NA,NA
"98",301010,"Oso and Small Creeks",NA,2001,"Wet","SP_Dur",75,"original",28,"original",73,"original",47,45
"99",301010,"Oso and Small Creeks",NA,2001,"Wet","SP_Tim",152,"original",152,"original",152,"original",0,0
"100",301010,"Oso and Small Creeks",NA,2002,"Dry","DS_Dur_WS",71,"original",NA,"original",181,"original",NA,NA
"101",301010,"Oso and Small Creeks",NA,2002,"Dry","SP_Dur",238,"original",NA,"original",131,"original",NA,NA
"102",301010,"Oso and Small Creeks",NA,2002,"Dry","SP_Tim",85,"original",NA,"original",85,"original",NA,NA
"103",301010,"Oso and Small Creeks",NA,2003,"Wet","DS_Dur_WS",82,"original",NA,"original",233,"original",NA,NA
"104",301010,"Oso and Small Creeks",NA,2003,"Wet","SP_Dur",163,"original",107,"original",12,"original",56,-95
"105",301010,"Oso and Small Creeks",NA,2003,"Wet","SP_Tim",199,"original",170,"original",199,"original",29,29
"106",301010,"Oso and Small Creeks",NA,2004,"Dry","DS_Dur_WS",137,"original",NA,"original",138,"original",NA,NA
"107",301010,"Oso and Small Creeks",NA,2004,"Dry","SP_Dur",89,"original",NA,"original",87,"original",NA,NA
"108",301010,"Oso and Small Creeks",NA,2004,"Dry","SP_Tim",152,"original",NA,"original",152,"original",NA,NA
"109",301010,"Oso and Small Creeks",NA,2005,"Wet","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"110",301010,"Oso and Small Creeks",NA,2005,"Wet","SP_Dur",75,"original",82,"original",75,"original",-7,-7
"111",301010,"Oso and Small Creeks",NA,2005,"Wet","SP_Tim",147,"original",147,"original",147,"original",0,0
"112",301010,"Oso and Small Creeks",NA,2006,"Dry","DS_Dur_WS",172,"original",NA,"original",170,"original",NA,NA
"113",301010,"Oso and Small Creeks",NA,2006,"Dry","SP_Dur",68,"original",NA,"original",69,"original",NA,NA
"114",301010,"Oso and Small Creeks",NA,2006,"Dry","SP_Tim",237,"original",NA,"original",237,"original",NA,NA
"115",301010,"Oso and Small Creeks",NA,2007,"Dry","DS_Dur_WS",197,"original",NA,"original",199,"original",NA,NA
"116",301010,"Oso and Small Creeks",NA,2007,"Dry","SP_Dur",10,"original",NA,"original",10,"original",NA,NA
"117",301010,"Oso and Small Creeks",NA,2007,"Dry","SP_Tim",205,"original",NA,"original",205,"original",NA,NA
"118",301010,"Oso and Small Creeks",NA,2008,"Dry","DS_Dur_WS",63,"original",NA,"original",254,"original",NA,NA
"119",301010,"Oso and Small Creeks",NA,2008,"Dry","SP_Dur",199,"original",NA,"original",8,"original",NA,NA
"120",301010,"Oso and Small Creeks",NA,2008,"Dry","SP_Tim",150,"original",NA,"original",150,"original",NA,NA
"121",301010,"Oso and Small Creeks",NA,2009,"Dry","DS_Dur_WS",102,"original",NA,"original",275,"original",NA,NA
"122",301010,"Oso and Small Creeks",NA,2009,"Dry","SP_Dur",182,"original",149,"original",9,"original",33,-140
"123",301010,"Oso and Small Creeks",NA,2009,"Dry","SP_Tim",142,"original",142,"original",142,"original",0,0
"124",301010,"Oso and Small Creeks",NA,2010,"Moderate","DS_Dur_WS",232,"original",NA,"original",231,"original",NA,NA
"125",301010,"Oso and Small Creeks",NA,2010,"Moderate","SP_Dur",71,"original",NA,"original",72,"original",NA,NA
"126",301010,"Oso and Small Creeks",NA,2010,"Moderate","SP_Tim",132,"original",NA,"original",132,"original",NA,NA
"127",301010,"Oso and Small Creeks",NA,2011,"Wet","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"128",301010,"Oso and Small Creeks",NA,2011,"Wet","SP_Dur",167,"original",100,"original",153,"original",67,53
"129",301010,"Oso and Small Creeks",NA,2011,"Wet","SP_Tim",86,"original",86,"original",86,"original",0,0
"130",301010,"Oso and Small Creeks",NA,2012,"Moderate","DS_Dur_WS",NA,"original",NA,"original",110,"original",NA,NA
"131",301010,"Oso and Small Creeks",NA,2012,"Moderate","SP_Dur",90,"original",NA,"original",88,"original",NA,NA
"132",301010,"Oso and Small Creeks",NA,2012,"Moderate","SP_Tim",212,"original",NA,"original",212,"original",NA,NA
"133",301010,"Oso and Small Creeks",NA,2013,"Dry","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"134",301010,"Oso and Small Creeks",NA,2013,"Dry","SP_Dur",16,"original",NA,"original",1,"original",NA,NA
"135",301010,"Oso and Small Creeks",NA,2013,"Dry","SP_Tim",231,"original",NA,"original",231,"original",NA,NA
"136",301010,"Oso and Small Creeks",NA,2014,"Dry","DS_Dur_WS",241,"original",NA,"original",179,"original",NA,NA
"137",301010,"Oso and Small Creeks",NA,2014,"Dry","SP_Dur",16,"original",NA,"original",84,"original",NA,NA
"138",301010,"Oso and Small Creeks",NA,2014,"Dry","SP_Tim",154,"original",NA,"original",154,"original",NA,NA
"139",301010,"Oso and Small Creeks",NA,2015,"Moderate","DS_Dur_WS",125,"original",NA,"original",125,"original",NA,NA
"140",301010,"Oso and Small Creeks",NA,2015,"Moderate","SP_Dur",80,"original",NA,"original",80,"original",NA,NA
"141",301010,"Oso and Small Creeks",NA,2015,"Moderate","SP_Tim",230,"original",NA,"original",230,"original",NA,NA
"142",301010,"Oso and Small Creeks",NA,2016,"Dry","DS_Dur_WS",177,"original",NA,"original",261,"original",NA,NA
"143",301010,"Oso and Small Creeks",NA,2016,"Dry","SP_Dur",95,"original",NA,"original",11,"original",NA,NA
"144",301010,"Oso and Small Creeks",NA,2016,"Dry","SP_Tim",162,"original",NA,"original",162,"original",NA,NA
